"Date","Price","Open","High","Low","Change %"
"Aug 08, 2019","11.3889","11.4221","11.4726","11.3576","-0.22%"
"Aug 07, 2019","11.4139","11.3872","11.5534","11.3863","0.16%"
"Aug 06, 2019","11.3953","11.4996","11.5598","11.3052","-0.90%"
"Aug 05, 2019","11.4985","11.3115","11.5290","11.2827","1.75%"
"Aug 02, 2019","11.3008","11.1368","11.3316","11.1044","1.40%"
"Aug 01, 2019","11.1452","10.9268","11.1632","10.8640","2.00%"
"Jul 31, 2019","10.9266","10.8838","10.9411","10.8651","0.45%"
"Jul 30, 2019","10.8778","10.8742","10.8950","10.8445","-0.03%"
"Jul 29, 2019","10.8812","10.8949","10.9307","10.8759","-0.15%"
"Jul 26, 2019","10.8971","10.9003","10.9256","10.8633","-0.03%"
"Jul 25, 2019","10.9003","10.8925","10.9456","10.8614","0.07%"
"Jul 24, 2019","10.8925","10.9022","10.9187","10.8796","-0.08%"
"Jul 23, 2019","10.9011","10.9095","10.9288","10.8895","-0.08%"
"Jul 22, 2019","10.9096","10.9126","10.9531","10.8868","-0.08%"
"Jul 19, 2019","10.9187","10.9304","10.9451","10.8794","-0.11%"
"Jul 18, 2019","10.9305","10.9383","11.0010","10.8994","-0.06%"
"Jul 17, 2019","10.9373","10.8974","10.9396","10.8858","0.36%"
"Jul 16, 2019","10.8983","10.9334","10.9570","10.8706","-0.37%"
"Jul 15, 2019","10.9383","10.9138","10.9657","10.9047","0.25%"
"Jul 12, 2019","10.9107","10.8316","10.9293","10.8190","0.73%"
"Jul 11, 2019","10.8315","10.8484","10.9050","10.8222","-0.15%"
"Jul 10, 2019","10.8475","10.8688","10.8724","10.8256","-0.20%"
"Jul 09, 2019","10.8697","10.8617","10.8908","10.8290","0.07%"
"Jul 08, 2019","10.8617","10.8404","10.9216","10.8264","0.26%"
"Jul 05, 2019","10.8331","10.8311","10.8628","10.7927","-0.04%"
"Jul 04, 2019","10.8370","10.8581","10.8813","10.8254","-0.19%"
"Jul 03, 2019","10.8571","10.8200","10.9083","10.8108","0.34%"
"Jul 02, 2019","10.8204","10.7141","10.8332","10.7042","1.00%"
"Jul 01, 2019","10.7130","10.6971","10.7576","10.6116","-0.04%"
"Jun 28, 2019","10.7177","10.7425","10.7738","10.7125","-0.16%"
"Jun 27, 2019","10.7345","10.7036","10.7464","10.6876","0.20%"
"Jun 26, 2019","10.7127","10.7866","10.8107","10.7016","-0.69%"
"Jun 25, 2019","10.7866","10.7713","10.8219","10.7446","0.23%"
